Machine Keys,Full Machine Name
EBD,Eight Ball Deluxe
8Ball,Eight Ball
ACDC,AC/DC
TOTAN,Tales of the Arabian Nights
TAF,The Addams Family
AFM,Attack From Mars
AustinPowers,Austin Powers
Avatar,Avatar
BadCats,Bad Cats
BDK,Batman Dark Knight (Stern)
BigGuns,Big Guns
BlackKnight,BlackKnight
Centaur,Centaur
ChampPub,Champion Pub
Cheetah,Cheetah
CFTBL,Creature from the Black Lagoon
Congo,Congo
Diner,Diner
Dragonfist,Dragonfist
DrWho,Dr Who
Earthshaker,Earthshaker
Elvira,Elvira
Embryon,Embryon
F-14,F-14
Fathom,Fathom
Fire,Fire
Firepower,Firepower
FishTales,Fish Tales
Flintstones,Flintstones
FH,Funhouse
Getaway,HS2 The Getaway
HardBody,Hard Body
Harlem,Harlem Globetrotters
HighSpeed,HighSpeed
Hurricane,Hurricane
Indy,Indiana Jones Adventure (Williams)
IronMan,Iron Man
Skindy,Skinny Indy - Stern Indiana Jones
Jackbot,Jackbot
Jackbox,Jack in the Box
Junkyard,Junkyard
Jurrasic,Jurassic Park
Lightning,Lightning
LOTR,Lord of the Rings
Mario,Mario Brothers
Metallica,Metallica
MNF,Monday Night Football
Monopoly,Monopoly
MM,Medieval Madness
MB,Monster Bash
Mousin,Mousin Around
Mustang,Mustang
Nascar,Nascar
NBAFB,NBA Fastbreak
Nitro,Nitro Groundshaker
Paragon,Paragon
PartyZone,PartyZone
Pinbot,Pinbot
PF,Police Force
Popeye,Popeye Saves the Earth
Radical,Radical
RFM,Revenge From Mars
RollerCoaster,Roller Coaster Tycoon
SF2,Street Fighter 2
SouthPark,South Park
SpaceShuttle,Space Shuttle
SpaceStation,Space Station
SpeakEasy,Speak Easy
SpecialForce,Special Force
Spiderman,Spider-man (Stern)
Stars,Stars
StellarWars,Stellar Wars
SternTrek,Star Trek (Stern)
StarTrek,Star Trek (Data East)
STTNG,Star Trek Next Generation (WMS)
Troopers,Starship Troopers
StarWars,Star Wars
Superman,Superman
SurfChamp,Surf Champ
T2,Terminator 2
T3,Terminator 3
Taxi,Taxi
TF,Transformers
TMNT,Teenage Mutant Ninja Turtles
TOM,Theatre of Magic
Toledo,Toledo
Tron,Tron
Simpsons,The Simpsons (older machine)
TSPP,The Simpsons Pinball Party
TWD,The Walking Dead
TZ,Twilight Zone
Whirlwind,Whirlwind
WhoDunnit,Who Dunnit
WCS,World Cup Soccer
WOF,Wheel of Fortune
WOZ,Wizard of Oz
WPT,World Poker Tour
Xenon,Xenon
XMen,X-Men
