PBR,AAB,Point Breakers
DSV,AAB,Death Savers
SSS,SHR,Silverball Slayers
BBS,SHR,Bumper Buddies
NLT,OLF,Northern Lights
JMF,JJS,Middle Flippers
ELL,FFD,Ellipsis
SCN,NAR,Seacorns
CRA,ANC,Crashers
SWL,8BT,Specials When Lit
SJK,FTB,Soda Jerks
DTP,JJS,Down To Pinball
SD1,TBD,Seed #1
SD2,TBD,Seed #2
SD3,TBD,Seed #3
SD4,TBD,Seed #4
SD5,TBD,Seed #5
SD6,TBD,Seed #6
SD7,TBD,Seed #7
SD8,TBD,Seed #8
SF1,TBD,Semi Finalist #1
SF2,TBD,Semi Finalist #2
SF3,TBD,Semi Finalist #3
SF4,TBD,Semi Finalist #4
FN1,FFD,Soda Jerks
FN2,NEU,Silverball Slayers
SUB,NEU,Substitute
OUT,NEU,Dropped
