AaronB,329
AaronD,12938
AaronG,351
AaronM,1836
AdamC,1214
AdamJ,1368
AgeD,4195
AlanW,1386
AlexK,1606
AlexSi,714
AlexSk,3353
AlexT,622
AlexaP,988
AlysonR,5103
AmberleH,24791
AmzeahS,26338
AndrewC,8714
AndrewN,715
AndyB,688
AndyH,6123
AndyM,15711
AnneS,18771
AriG,2437
AustinA,2295
BarryB,0
BentonS,1024
BethanyB,3525
BlakeM,198
BobbyC,421
BradH,8003
BradJ,3013
BrettW,7123
BrianC,838
BrianH,1001
BrianL,9986
BrianLi,19803
BrianW,20457
BrieanaW,6508
BrittanyS,19823
BrookeL,1830
BrynB,9936
CameronA,12184
CarlosS,2856
CathyC,1922
ChallisaP,2309
ChelseaS,20339
ChelseyO,3402
ChelsieH,1956
ChrisC,120
ChrisJ,1165
ChristelM,1397
ClaireB,6709
ClaytonS,1624
CodyD,15722
CorB,6823
CorbinS,898
DanD,938
DanS,4219
DanielM,693
DanielS,3774
DanielleC,3510
DannyR,2755
DaveS,30
DavidL,1573
DavidR,2561
DennisA,1186
DustinH,12323
DwayneC,6973
ElijahN,457
EricC,3947
EricM,1781
ErikG,420
ErinS,13627
EvaH,25296
EvanA,7005
EvanM,5783
FrankieS,1471
GeoffS,291
GeorgeL,4490
GordonO,2555
HannahH,375
HeatherL,941
HeatherW,1301
HollyC,15079
JamaalJ,21305
JamesD,929
JamesH,1415
JamieW,2908
JaredG,638
JarrettG,897
JasonG,13918
JasonHa,240
JasonHe,5266
JawnW,26610
JeffA,1383
JeffG,513
JeffR,1454
JeffS,2496
JeffW,2721
JeremyE,1167
JodineH,1263
JohnG,5126
JohnL,1371
JohnM,1187
JonH,1138
JordanS,1947
JordanSe,1499
JosephS,696
JoshuaB,617
JulieG,418
JustinB,5265
JustinH,976
KatieE,1428
KatieJ,2299
KaylaG,800
KevinB,17
KevinL,3531
KirstenW,25272
KristaK,7151
KylieW,3269
LauraH,4385
LaurenA,1216
LaurenM,15295
LeftyS,11339
LeslieN,9918
LeviD,940
LizS,16420
LolaD,10164
LukeC,2357
MakaH,54
MarkL,3590
MarkW,2158
MattAn,2058
MattG,2491
MattGa,2141
MattL,1247
MattWa,481
MattWo,1562
MaxS,1139
MeghanW,1353
MelissaJ,13374
MichaelA,2065
MichaelW,670
MikaR,1642
MikeC,215
MikeP,556
MikePo,0
NateC,8495
NicC,796
NickL,4438
NickT,731
NigelC,344
NinaR,2233
NycoleH,498
PatC,965
PaulP,4060
PaulW,3385
PeteO,3630
PhilH,3520
PhilP,12210
PonyH,20352
RachelH,2560
RandallO,9407
RaymondD,8
RexR,20338
RobbieF,2579
RobinM,8561
RodO,1006
RoryR,16925
RustinR,5784
RyanN,2359
RyanS,4680
SagelF,262
SamA,883
SamSn,1585
SamSt,2444
SeanC,6773
SeanDT,3722
SeanR,5508
SelfickN,2060
SergeyP,150
SergioM,4497
ShelbyK,2192
SherryS,4120
SimonH,2304
SophieS,989
StevenA,681
StuartY,4424
TaylorM,4460
TerrenceV,1312
TerryP,26185
ThomasD,5256
TimT,99
ToddR,132
TravisE,844
TravisG,2278
TravisM,534
WhitneyZ,6786
ZacP,903
ZachA,1770
