Machine Keys,Full Machine Name,
EBD,Eight Ball Deluxe,
8Ball,Eight Ball,
9Ball,Nine Ball,
ACDC,AC/DC,
TOTAN,Tales of the Arabian Nights,
TAF,The Addams Family,
AFM,Attack From Mars,
AlienPoker,Alien Poker,
AMH,America's Most Haunted,
AustinPowers,Austin Powers,
Avatar,Avatar,
Avengers,Avengers,
BadCats,Bad Cats,
BanzaiRun,BanzaiRun,
BDK,Batman Dark Knight (Stern),
BatmanDE,Batman Data East,
BatmanF,Batman Forever (SEGA),
BeatClock,Beat the Clock,
BigGuns,Big Guns,
BlackHole,Black Hole,
BlackKnight,Black Knight,
BK2K,Black Knight 2000, 
Blackout,Blackout,
BlackRose,Black Rose,
BOP,Bride of Pinbot,
BOP2,Bride of Pinbot 2.0,
Breakshot,Breakshot,
BSD,Bram Stoker's Dracula,
Centaur,Centaur,
ChampPub,Champion Pub,
Cheetah,Cheetah,
CFTBL,Creature from the Black Lagoon,
Congo,Congo,
DH,Dirty Harry,
Diner,Diner,
DM,Demolition Man,
Dragonfist,Dragonfist,
DrWho,Dr Who,
Earthshaker,Earthshaker,
Elvira,Elvira,
Elvis,Elvis,
Embryon,Embryon,
F-14,F-14,
Fathom,Fathom,
FG,Family Guy,
FH,Funhouse,
Fire,Fire,
Firepower,Firepower,
FishTales,Fish Tales,
Flintstones,Flintstones,
Flight2000,Flight 2000,
Freddy,Freddy Nightmare on Elm Street,
FullT,Full Throttle,
TFTC,The Bally Game Show,
Genie,Genie,
Genesis,Genesis,
Getaway,HS2 The Getaway,
Ghost,Ghostbusters,
GLizard,Grand Lizard,
GNR,Guns and Roses,
GOT,Game of Thrones,
HardBody,Hard Body,
Harlem,Harlem Globetrotters,
HH,Haunted House,
HighSpeed,High Speed,
Hobbit,The Hobbit,
Hook,Hook,
Hurricane,Hurricane,
Indy,Indiana Jones Adventure (Williams),
Indy500,Indianapolis 500,
IronMan,Iron Man,
Skindy,Skinny Indy - Stern Indiana Jones,
Jackbot,Jackbot,
Jackbox,Jack in the Box,
JD,Judge Dredd,
JM,Johnny Mnemonic,
Junkyard,Junkyard,
Jurassic,Jurassic Park,
KISS,KISS (Stern),
BKISS,KISS (Bally),
Lightning,Lightning,
LostWorld,Lost World Jurassic Park,
LuckyAce,Lucky Ace,
LOTR,Lord of the Rings,
Mario,Mario Brothers,
Maverick,Maverick,
Metallica,Metallica,
MNF,Monday Night Football,
Monopoly,Monopoly,
MM,Medieval Madness,
MB,Monster Bash,
Mousin,Mousin Around,
Mustang,Mustang,
Nascar,Nascar,
NBAFB,NBA Fastbreak,
NGG,No Good Gofers,
Nitro,Nitro Groundshaker,
NoFear,No Fear,
Paragon,Paragon,
PartyZone,PartyZone,
Pinbot,Pinbot,
PF,Police Force,
Popeye,Popeye Saves the Earth,
POTC,Pirates of the Caribbean,
POTO,Phantom Of The Opera,
Radical,Radical,
RBION,Ripley's Believe it or Not,
RFM,Revenge From Mars,
RS,Road Show,
Robocop,Robocop,
RB,Rocky and Bullwinkle,
RollerCoaster,Roller Coaster Tycoon,
RollerGames,Roller Games,
Shadow,The Shadow,
SS,Scared Stiff,
SF2,Street Fighter 2,
SoF,Swords Of Fury,
SouthPark,South Park,
SpaceJam,Space Jam,
SpaceShuttle,Space Shuttle,
SpaceStation,Space Station,
SpeakEasy,Speak Easy,
SpecialForce,Special Force,
Spiderman,Spider-man (Stern),
Stars,Stars,
StellarWars,Stellar Wars,
SternTrek,Star Trek (Stern),
StarTrek,Star Trek (Data East),
STTNG,Star Trek Next Generation (WMS),
StarWars,Star Wars (Data East),
StarWarsE1,Star Wars Episode 1 (Pinball 2000),
Troopers,Starship Troopers,
Sopranos,The Sopranos,
Superman,Superman,
Supersonic,Supersonic,
SurfChamp,Surf Champ,
T2,Terminator 2,
T3,Terminator 3,
Taxi,Taxi,
TF,Transformers,
TFTC,Tales from the Crypt,
TMNT,Teenage Mutant Ninja Turtles,
TOM,Theatre of Magic,
Toledo,Toledo,
Tron,Tron,
Simpsons,The Simpsons (older machine),
TSPP,The Simpsons Pinball Party,
TWD,The Walking Dead,
TZ,Twilight Zone,
Whirlwind,Whirlwind,
Whitewater,White Water,
Waterworld,Water World,
WhoDunnit,Who Dunnit,
WhoaNellie,Whoa Nellie,
WCS,World Cup Soccer,
WOF,Wheel of Fortune,
WOZ,Wizard of Oz,
WPT,World Poker Tour,
WWE,WWE Wrestlemania,
Xenon,Xenon,
XFiles,X Files,
XMen,X-Men,
