SWL,8BT,Specials When Lit,1,,,,,,,,,,,,,,,,,,
PGN,8BT,Pinguins,1,,,,,,,,,,,,,,,,,,
DSV,AAB,Death Savers,1,,,,,,,,,,,,,,,,,,
PBR,AAB,Point Breakers,1,,,,,,,,,,,,,,,,,,
CRA,ANC,Castle Crashers,1,,,,,,,,,,,,,,,,,,
TWC,FFD,The Wrecking Crew,1,,,,,,,,,,,,,,,,,,
KNR,FFD,Knight Riders,1,,,,,,,,,,,,,,,,,,
SJK,FTB,Soda Jerks,1,,,,,,,,,,,,,,,,,,
BOC,KRA,Ball of Cthulhu,1,,,,,,,,,,,,,,,,,,
NLT,OLF,Northern Lights,1,,,,,,,,,,,,,,,,,,
SSS,SHR,Silverball Slayers,1,,,,,,,,,,,,,,,,,,
ETB,GET,Eighteen Ball Deluxe,1,,,,,,,,,,,,,,,,,,
CPO,ANC,Pants Optional,2,,,,,,,,,,,,,,,,,,
CDC,CDX,Contras,2,,,,,,,,,,,,,,,,,,
PKT,COP,Pocketeers,2,,,,,,,,,,,,,,,,,,
HWZ,HBT,Hop Wizards,2,,,,,,,,,,,,,,,,,,
HHS,HND,Hellhounds,2,,,,,,,,,,,,,,,,,,
LAS,IBX,Little League All Stars,2,,,,,,,,,,,,,,,,,,
RTR,IBX,Ramp Tramps,2,,,,,,,,,,,,,,,,,,
DTP,JUP,DTP,2,,,,,,,,,,,,,,,,,,
JMF,JUP,Middle Flippers,2,,,,,,,,,,,,,,,,,,
SKP,KRA,Slap Kraken Pop,2,,,,,,,,,,,,,,,,,,
LLK,LLQ,Lucky Lickers,2,,,,,,,,,,,,,,,,,,
SCN,OLF,Seacorns,2,,,,,,,,,,,,,,,,,,
RMS,RAY,Magic Saves,2,,,,,,,,,,,,,,,,,,
DND,RAY,Dangers and Dragons,2,,,,,,,,,,,,,,,,,,
DIH,SHR,Drain in Hell,2,,,,,,,,,,,,,,,,,,
OLD,GET,Outlane Drains,2,,,,,,,,,,,,,,,,,,
